                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5921,                  4.356,                 1.4862,                0.00532,                0.25776,                0.04441,                0.02795,                  1.475,                 4.5221,                 1.3169,              8.125e-05,              8.125e-05,              8.125e-05
                      2,                 1.4355,                 3.8031,                 1.3355,                0.97678,                0.01763,                0.04816,                0.02674,                 1.4903,                 4.2726,                 1.3037,             0.00016318,             0.00016318,             0.00016318
                      3,                  1.484,                 3.1962,                  1.333,                  0.009,                0.29972,                0.06114,                 0.0335,                 1.4441,                 4.1486,                 1.2253,             0.00023934,             0.00023934,             0.00023934
                      4,                 1.4065,                 2.6609,                 1.2779,                0.95909,                 0.0609,                0.13142,                0.07199,                 1.4891,                 3.5955,                 1.2453,             0.00030972,             0.00030972,             0.00030972
                      5,                 1.4122,                 2.4516,                 1.2788,                0.78863,                0.10536,                0.16417,                0.09141,                 1.5681,                 3.3076,                 1.3279,             0.00037433,             0.00037433,             0.00037433
                      6,                 1.3646,                 2.2487,                 1.2725,                0.59665,                0.21325,                0.22638,                0.11034,                 1.5136,                 2.9997,                 1.3218,             0.00043316,             0.00043316,             0.00043316
                      7,                 1.3353,                 2.1364,                 1.2451,                0.52219,                0.21737,                0.20231,                0.10779,                 1.5433,                 3.0133,                 1.3571,             0.00048621,             0.00048621,             0.00048621
                      8,                 1.3028,                 1.9438,                 1.2504,                0.53726,                0.28134,                0.26111,                  0.133,                  1.495,                 3.0239,                  1.334,             0.00048062,             0.00048062,             0.00048062
                      9,                 1.2605,                 1.9521,                  1.217,                 0.5843,                0.29421,                0.26622,                0.13383,                 1.4712,                  2.759,                 1.3046,             0.00048062,             0.00048062,             0.00048062
                     10,                 1.2347,                 1.8316,                 1.1887,                0.61589,                 0.2954,                0.29575,                0.16499,                 1.4336,                 2.6527,                  1.297,                0.00046,                0.00046,                0.00046
                     11,                 1.2489,                 1.7525,                 1.1847,                0.63046,                0.32113,                0.31715,                0.17445,                 1.4434,                 2.5154,                  1.298,             0.00043937,             0.00043937,             0.00043937
                     12,                 1.2602,                 1.7074,                 1.1801,                0.58974,                 0.3445,                0.33219,                0.17459,                 1.5091,                 2.4586,                 1.3664,             0.00041875,             0.00041875,             0.00041875
                     13,                  1.239,                 1.6391,                 1.1717,                0.66588,                0.34312,                0.35812,                0.18304,                 1.4791,                 2.3708,                 1.3124,             0.00039813,             0.00039813,             0.00039813
                     14,                 1.2196,                 1.5911,                 1.1696,                0.55278,                0.38824,                0.36093,                0.19338,                 1.4624,                 2.2723,                 1.2792,              0.0003775,              0.0003775,              0.0003775
                     15,                 1.2161,                 1.5414,                 1.1355,                0.60196,                 0.3398,                0.38191,                 0.2099,                 1.3775,                 2.2065,                 1.2405,             0.00035687,             0.00035687,             0.00035687
                     16,                 1.1914,                 1.5109,                 1.1605,                0.67112,                0.40997,                 0.3951,                0.21354,                 1.3857,                 2.1334,                 1.2377,             0.00033625,             0.00033625,             0.00033625
                     17,                  1.148,                 1.4799,                 1.1316,                0.73294,                0.37035,                 0.4195,                 0.2287,                 1.3731,                 2.0183,                 1.2233,             0.00031562,             0.00031562,             0.00031562
                     18,                  1.111,                 1.4107,                 1.1108,                0.53017,                0.40094,                 0.4153,                0.22792,                 1.4019,                 2.0537,                 1.2514,               0.000295,               0.000295,               0.000295
                     19,                 1.1129,                 1.4302,                 1.0912,                0.53868,                0.39802,                0.43004,                0.24469,                 1.3751,                 2.0371,                 1.2379,             0.00027437,             0.00027437,             0.00027437
                     20,                 1.0996,                 1.4076,                 1.1057,                0.63273,                0.42473,                 0.4408,                0.26239,                 1.3233,                 1.9947,                 1.1926,             0.00025375,             0.00025375,             0.00025375
                     21,                 1.1293,                 1.6866,                  1.117,                0.58573,                0.41143,                0.45002,                0.25508,                 1.3506,                  2.082,                 1.2124,             0.00023313,             0.00023313,             0.00023313
                     22,                 1.1207,                 1.6217,                 1.1158,                0.62089,                0.39921,                0.40586,                0.23037,                 1.3785,                 2.1754,                 1.2522,              0.0002125,              0.0002125,              0.0002125
                     23,                 1.0623,                 1.5371,                 1.0682,                0.59556,                 0.4159,                0.41198,                0.23234,                 1.3661,                 2.0857,                  1.231,             0.00019188,             0.00019188,             0.00019188
                     24,                 1.0543,                 1.4556,                 1.0669,                 0.6215,                 0.4194,                0.43551,                0.24879,                 1.3332,                 1.9673,                 1.2121,             0.00017125,             0.00017125,             0.00017125
                     25,                 1.0329,                 1.4436,                 1.0774,                 0.6165,                0.45843,                0.44842,                0.26205,                 1.2965,                 1.9326,                 1.1713,             0.00015062,             0.00015062,             0.00015062
                     26,                 1.0214,                 1.3886,                 1.0527,                0.61573,                0.41987,                0.45016,                  0.263,                    1.3,                 1.9095,                 1.1684,                0.00013,                0.00013,                0.00013
                     27,                0.99789,                 1.4036,                 1.0379,                0.62933,                0.39845,                0.45452,                0.26332,                 1.3022,                 1.8806,                 1.1706,             0.00010937,             0.00010937,             0.00010937
                     28,                 0.9836,                 1.3276,                 1.0328,                0.60267,                0.39894,                0.45307,                0.27063,                 1.2817,                  1.836,                 1.1657,              8.875e-05,              8.875e-05,              8.875e-05
                     29,                0.97349,                 1.3102,                 1.0223,                0.62462,                0.40633,                0.45641,                0.26671,                 1.2773,                  1.813,                 1.1703,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     30,                0.97203,                 1.3251,                  1.019,                0.64042,                0.44974,                 0.4661,                0.26933,                 1.2835,                 1.8104,                 1.1738,               4.75e-05,               4.75e-05,               4.75e-05
