                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5921,                  4.356,                 1.4862,                0.00532,                0.25776,                0.04441,                0.02795,                  1.475,                 4.5221,                 1.3169,              8.125e-05,              8.125e-05,              8.125e-05
                      2,                 1.4365,                 3.8051,                 1.3364,                0.97062,                0.04006,                0.04732,                0.02697,                 1.4973,                 4.2851,                 1.3141,              0.0001604,              0.0001604,              0.0001604
                      3,                 1.4805,                 3.2016,                 1.3346,                0.00905,                0.26808,                0.07595,                  0.041,                 1.4418,                 4.1395,                 1.2367,             0.00023088,             0.00023088,             0.00023088
                      4,                 1.4204,                 2.7124,                 1.2847,                0.95498,                 0.0625,                0.12149,                0.06781,                 1.4788,                 3.5772,                 1.2677,              0.0002927,              0.0002927,              0.0002927
                      5,                 1.4112,                 2.4876,                 1.2801,                0.69069,                0.09297,                0.15123,                0.08501,                 1.4879,                 3.2968,                 1.2819,             0.00034586,             0.00034586,             0.00034586
                      6,                 1.3465,                 2.2698,                 1.2602,                0.61003,                 0.1803,                0.21679,                 0.1179,                 1.4596,                 3.0103,                 1.2871,             0.00039036,             0.00039036,             0.00039036
                      7,                 1.3041,                 2.1402,                 1.2179,                0.56217,                0.20819,                0.22772,                0.13072,                 1.4982,                 2.9902,                 1.3401,             0.00042619,             0.00042619,             0.00042619
                      8,                 1.2881,                  1.976,                 1.2388,                0.56784,                0.30753,                0.28803,                0.14582,                  1.466,                 2.9062,                 1.3265,             0.00040844,             0.00040844,             0.00040844
                      9,                 1.2453,                 1.9466,                 1.1972,                0.54688,                 0.3323,                0.30066,                0.15582,                 1.4276,                 2.6876,                 1.2979,             0.00040844,             0.00040844,             0.00040844
                     10,                 1.2335,                 1.7984,                 1.2073,                0.54912,                 0.3598,                0.33625,                0.17781,                  1.462,                  2.577,                 1.3498,              0.0003775,              0.0003775,              0.0003775
                     11,                 1.2568,                 2.0166,                 1.2293,                0.55357,                0.31941,                0.31221,                0.16236,                 1.4957,                 2.7684,                 1.3593,             0.00034656,             0.00034656,             0.00034656
                     12,                 1.2533,                 1.9662,                 1.1927,                0.67232,                0.31481,                0.32393,                0.16977,                 1.4819,                 2.5437,                 1.3074,             0.00031562,             0.00031562,             0.00031562
                     13,                 1.2589,                 1.8665,                 1.1747,                0.62653,                0.33787,                0.33255,                0.18008,                  1.414,                 2.4108,                 1.2515,             0.00028469,             0.00028469,             0.00028469
                     14,                 1.1886,                 1.7983,                   1.14,                0.61748,                0.38307,                0.36043,                 0.2055,                 1.3678,                 2.2667,                  1.252,             0.00025375,             0.00025375,             0.00025375
                     15,                 1.1767,                 1.7734,                 1.1416,                0.59807,                0.39255,                0.37471,                0.21608,                 1.3313,                 2.1617,                 1.2305,             0.00022281,             0.00022281,             0.00022281
                     16,                 1.1522,                 1.6885,                 1.1374,                0.66243,                0.41478,                0.40465,                0.23342,                 1.3168,                 2.0983,                 1.1977,             0.00019188,             0.00019188,             0.00019188
                     17,                 1.1312,                 1.6612,                 1.1251,                0.74772,                0.36391,                0.41386,                0.23175,                 1.3236,                 2.0786,                 1.2045,             0.00016094,             0.00016094,             0.00016094
                     18,                  1.097,                 1.6209,                 1.0879,                0.74135,                0.34957,                0.42013,                0.23408,                 1.3146,                 2.0716,                 1.2043,                0.00013,                0.00013,                0.00013
                     19,                 1.0605,                  1.588,                 1.0967,                0.75741,                0.36985,                0.44003,                0.23989,                 1.3077,                 2.0028,                 1.2054,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     20,                 1.0587,                 1.5258,                 1.0621,                0.78033,                0.36498,                 0.4436,                0.24414,                 1.3139,                 1.9679,                 1.2091,             6.8125e-05,             6.8125e-05,             6.8125e-05
